Landmark,X,Y
61,196,434
146,201,441
91,208,449
181,217,459
84,229,466
17,244,469
314,259,470
405,273,468
321,284,463
375,292,458
291,299,453
185,203,435
40,211,435
39,221,436
37,235,436
0,249,442
267,264,442
269,278,446
270,286,450
409,293,452
78,200,436
95,208,440
88,214,442
178,224,446
87,234,449
14,247,452
317,259,453
402,270,454
318,280,454
324,286,454
308,295,454
191,208,439
80,215,442
81,224,445
82,235,449
13,247,452
312,260,453
311,271,454
310,280,454
415,287,454
