Landmark,X,Y
61,231,440
146,236,447
91,241,455
181,249,465
84,260,474
17,274,479
314,288,481
405,301,478
321,312,473
375,320,468
291,326,464
185,238,441
40,245,443
39,255,444
37,269,446
0,282,452
267,295,452
269,307,457
270,314,460
409,321,462
78,235,442
95,242,446
88,248,449
178,257,453
87,267,457
14,279,461
317,290,463
402,300,463
318,308,464
324,314,464
308,322,464
191,242,446
80,248,449
81,257,453
82,267,457
13,279,461
312,290,462
311,300,463
310,308,464
415,315,464
