Landmark,X,Y
61,206,477
146,210,484
91,215,492
181,222,501
84,233,508
17,246,511
314,261,511
405,274,506
321,285,499
375,292,493
291,298,488
185,211,477
40,216,477
39,224,477
37,235,476
0,247,480
267,261,479
269,275,483
270,284,486
409,292,487
78,210,479
95,217,481
88,222,484
178,228,487
87,237,490
14,247,492
317,259,492
402,270,492
318,279,491
324,285,490
308,293,489
191,217,481
80,222,484
81,229,486
82,237,489
13,247,491
312,259,491
311,270,491
310,279,491
415,286,490
