Landmark,X,Y
61,226,423
146,231,430
91,237,439
181,246,449
84,257,458
17,272,463
314,286,465
405,299,463
321,311,458
375,319,453
291,325,448
185,233,424
40,241,426
39,252,427
37,267,429
0,281,436
267,295,436
269,306,441
270,314,444
409,320,446
78,230,425
95,238,429
88,245,432
178,254,436
87,265,441
14,277,445
317,289,447
402,299,448
318,307,448
324,313,448
308,321,449
191,238,429
80,245,432
81,254,436
82,265,440
13,277,445
312,289,446
311,299,448
310,307,448
415,313,449
