Landmark,X,Y
61,198,435
146,203,442
91,209,450
181,218,459
84,230,466
17,245,470
314,260,471
405,274,468
321,285,463
375,293,458
291,299,453
185,204,436
40,211,436
39,221,436
37,235,436
0,249,441
267,264,441
269,278,446
270,286,449
409,293,452
78,202,437
95,209,440
88,216,443
178,225,446
87,235,449
14,247,452
317,260,453
402,271,454
318,280,454
324,286,454
308,294,454
191,210,440
80,216,443
81,225,446
82,235,449
13,248,452
312,260,453
311,271,454
310,280,454
415,286,454
