Landmark,X,Y
61,181,505
146,185,512
91,191,519
181,201,529
84,213,536
17,227,539
314,243,539
405,256,534
321,266,526
375,272,520
291,277,515
185,187,504
40,194,504
39,204,502
37,217,499
0,231,504
267,245,502
269,258,507
270,266,511
409,272,513
78,185,506
95,193,508
88,199,510
178,207,512
87,218,515
14,229,517
317,241,517
402,251,517
318,259,516
324,265,516
308,273,516
191,193,509
80,199,510
81,208,512
82,218,514
13,230,517
312,241,517
311,251,517
310,259,517
415,265,516
