Landmark,X,Y
61,208,428
146,213,435
91,220,442
181,230,451
84,242,458
17,256,462
314,271,463
405,285,461
321,297,456
375,305,452
291,311,448
185,215,429
40,223,429
39,233,429
37,248,430
0,262,435
267,277,435
269,290,440
270,299,443
409,305,446
78,212,430
95,220,433
88,227,435
178,236,438
87,247,441
14,260,445
317,272,446
402,283,447
318,292,447
324,299,448
308,307,448
191,220,433
80,227,435
81,236,438
82,247,441
13,260,445
312,272,446
311,283,447
310,292,448
415,299,448
