Landmark,X,Y
61,235,456
146,240,463
91,246,472
181,255,482
84,267,490
17,281,494
314,295,495
405,308,492
321,318,485
375,325,480
291,332,475
185,242,457
40,251,459
39,261,460
37,276,461
0,290,466
267,303,465
269,314,469
270,321,472
409,327,473
78,239,458
95,246,462
88,253,465
178,263,468
87,274,472
14,286,476
317,297,477
402,306,477
318,314,476
324,320,476
308,328,475
191,247,462
80,254,465
81,263,468
82,274,472
13,286,475
312,297,476
311,306,477
310,314,477
415,320,476
