Landmark,X,Y
61,204,433
146,209,440
91,216,448
181,227,456
84,239,463
17,253,466
314,267,467
405,281,465
321,292,461
375,300,456
291,307,452
185,210,434
40,219,435
39,229,436
37,244,437
0,258,442
267,273,442
269,285,446
270,294,449
409,301,451
78,208,435
95,216,439
88,223,441
178,232,445
87,243,448
14,256,451
317,268,452
402,279,453
318,288,453
324,294,453
308,302,453
191,216,439
80,223,441
81,232,444
82,243,448
13,256,451
312,268,452
311,279,453
310,288,453
415,295,453
