Landmark,X,Y
61,238,417
146,243,424
91,249,432
181,258,442
84,270,451
17,285,456
314,299,458
405,313,457
321,325,452
375,334,448
291,341,444
185,245,418
40,253,420
39,265,421
37,280,422
0,294,429
267,309,430
269,321,435
270,329,439
409,335,442
78,242,419
95,250,423
88,257,426
178,266,429
87,277,434
14,290,438
317,302,440
402,313,442
318,321,443
324,328,444
308,336,444
191,250,423
80,257,426
81,266,429
82,278,434
13,290,438
312,302,440
311,313,442
310,321,443
415,328,444
