Landmark,X,Y
61,228,462
146,233,469
91,240,477
181,249,487
84,261,495
17,275,499
314,288,499
405,301,496
321,311,490
375,319,485
291,325,480
185,235,463
40,244,464
39,255,465
37,269,466
0,283,471
267,296,470
269,306,474
270,313,476
409,320,478
78,232,464
95,240,467
88,247,470
178,256,474
87,267,477
14,279,480
317,290,481
402,300,481
318,307,481
324,313,481
308,321,480
191,240,467
80,247,470
81,256,473
82,267,477
13,279,480
312,290,481
311,299,481
310,307,481
415,313,481
