Landmark,X,Y
61,203,439
146,208,446
91,215,454
181,224,464
84,236,471
17,251,475
314,266,476
405,280,473
321,292,468
375,300,463
291,307,459
185,210,440
40,218,441
39,228,441
37,243,441
0,257,447
267,272,447
269,285,451
270,294,455
409,301,457
78,207,441
95,215,444
88,222,447
178,231,450
87,242,454
14,254,457
317,267,458
402,278,459
318,287,459
324,294,459
308,302,459
191,215,444
80,222,447
81,231,450
82,242,453
13,255,457
312,267,458
311,278,459
310,287,459
415,294,459
