Landmark,X,Y
61,213,472
146,217,478
91,222,486
181,231,494
84,243,501
17,256,504
314,270,504
405,283,499
321,292,493
375,298,487
291,303,483
185,218,471
40,225,471
39,234,469
37,247,468
0,259,472
267,273,471
269,284,475
270,292,478
409,298,481
78,217,473
95,224,476
88,230,477
178,238,480
87,247,482
14,258,484
317,269,485
402,278,484
318,286,484
324,291,483
308,299,483
191,224,475
80,230,477
81,238,479
82,247,481
13,258,483
312,269,483
311,278,483
310,285,484
415,291,483
