Landmark,X,Y
61,233,434
146,238,442
91,243,450
181,251,460
84,262,469
17,275,474
314,290,476
405,303,474
321,315,468
375,323,463
291,329,459
185,240,436
40,247,438
39,257,439
37,271,440
0,284,447
267,298,447
269,310,452
270,318,455
409,324,457
78,237,437
95,245,440
88,251,444
178,259,448
87,269,452
14,281,456
317,292,458
402,302,459
318,311,459
324,317,459
308,325,459
191,245,441
80,251,444
81,259,448
82,269,452
13,281,456
312,292,458
311,302,459
310,311,459
415,317,460
