Landmark,X,Y
61,204,432
146,209,439
91,216,446
181,225,455
84,238,462
17,252,466
314,267,467
405,281,464
321,293,460
375,301,455
291,308,451
185,210,433
40,218,434
39,228,434
37,243,435
0,257,440
267,272,440
269,286,444
270,295,447
409,302,449
78,208,434
95,216,437
88,222,440
178,232,443
87,243,446
14,255,449
317,268,451
402,279,451
318,288,452
324,295,451
308,304,451
191,216,437
80,222,440
81,232,443
82,243,446
13,255,449
312,268,451
311,279,451
310,288,452
415,295,452
