Landmark,X,Y
61,197,436
146,202,442
91,209,450
181,218,459
84,230,467
17,245,471
314,260,472
405,274,469
321,286,464
375,294,459
291,301,454
185,203,436
40,211,437
39,221,437
37,235,438
0,249,443
267,265,443
269,278,447
270,287,451
409,295,453
78,201,437
95,209,441
88,215,443
178,224,447
87,235,450
14,248,453
317,260,454
402,272,455
318,281,455
324,288,455
308,296,455
191,209,441
80,215,443
81,224,446
82,235,450
13,248,453
312,261,454
311,272,455
310,281,455
415,288,455
