Landmark,X,Y
61,202,439
146,208,446
91,214,454
181,224,463
84,237,471
17,251,475
314,266,476
405,280,473
321,292,468
375,300,463
291,307,459
185,209,440
40,218,441
39,229,441
37,244,442
0,258,447
267,273,447
269,286,452
270,295,455
409,302,457
78,207,441
95,214,444
88,221,447
178,231,450
87,242,454
14,255,457
317,268,458
402,279,459
318,288,459
324,294,459
308,303,459
191,215,444
80,222,447
81,232,450
82,243,454
13,256,457
312,268,458
311,279,459
310,288,460
415,294,460
