Landmark,X,Y
61,230,459
146,235,466
91,242,474
181,251,484
84,263,492
17,277,496
314,291,497
405,304,493
321,314,487
375,322,482
291,328,477
185,238,460
40,246,461
39,257,462
37,271,463
0,285,469
267,298,468
269,309,472
270,316,474
409,322,476
78,234,461
95,242,464
88,249,467
178,258,471
87,269,474
14,281,478
317,293,479
402,302,479
318,310,478
324,316,478
308,323,478
191,242,464
80,249,467
81,259,470
82,269,474
13,282,477
312,293,478
311,302,479
310,310,479
415,316,478
