Landmark,X,Y
61,235,453
146,240,460
91,246,469
181,255,479
84,267,487
17,281,491
314,295,492
405,307,489
321,318,483
375,325,477
291,331,472
185,242,454
40,251,456
39,262,457
37,277,459
0,290,464
267,303,464
269,314,467
270,320,470
409,326,471
78,239,455
95,246,459
88,253,462
178,263,466
87,274,470
14,286,473
317,297,474
402,306,474
318,314,474
324,320,474
308,327,473
191,246,459
80,253,462
81,263,465
82,274,469
13,286,473
312,297,474
311,306,474
310,314,474
415,320,474
