Landmark,X,Y
61,221,418
146,226,424
91,232,432
181,242,441
84,254,449
17,269,453
314,284,455
405,298,453
321,310,449
375,319,444
291,326,440
185,228,418
40,236,418
39,247,418
37,262,419
0,277,425
267,292,426
269,305,431
270,314,435
409,320,438
78,226,420
95,233,423
88,240,425
178,250,428
87,261,432
14,273,435
317,286,437
402,297,439
318,306,439
324,313,440
308,321,440
191,234,423
80,241,425
81,250,428
82,261,432
13,274,435
312,286,437
311,297,439
310,306,440
415,313,440
