Landmark,X,Y
61,225,423
146,230,431
91,236,440
181,244,450
84,256,459
17,270,464
314,285,466
405,298,464
321,309,458
375,317,453
291,324,448
185,232,425
40,241,427
39,251,429
37,266,431
0,279,437
267,293,438
269,304,442
270,312,445
409,318,447
78,229,426
95,237,430
88,243,433
178,252,437
87,263,442
14,275,446
317,287,448
402,297,448
318,305,449
324,312,449
308,320,449
191,237,430
80,244,433
81,253,437
82,263,442
13,276,446
312,287,448
311,297,449
310,305,449
415,312,449
