Landmark,X,Y
61,214,479
146,218,486
91,224,493
181,232,503
84,242,510
17,255,513
314,270,513
405,282,508
321,292,502
375,299,496
291,304,491
185,220,479
40,226,479
39,235,478
37,247,477
0,259,482
267,273,480
269,285,485
270,293,488
409,299,490
78,219,481
95,225,483
88,231,485
178,238,488
87,247,490
14,258,493
317,269,493
402,279,493
318,287,492
324,292,492
308,300,492
191,226,483
80,231,485
81,239,487
82,248,490
13,258,492
312,269,493
311,279,493
310,286,493
415,292,493
