Landmark,X,Y
61,204,438
146,209,445
91,215,453
181,225,462
84,237,469
17,252,472
314,267,474
405,281,471
321,292,466
375,300,461
291,307,457
185,211,439
40,219,441
39,229,441
37,244,442
0,258,447
267,273,447
269,285,451
270,294,454
409,301,455
78,208,440
95,216,444
88,222,446
178,232,449
87,243,453
14,255,456
317,268,457
402,278,458
318,287,458
324,294,458
308,302,457
191,216,444
80,223,446
81,232,449
82,243,453
13,255,456
312,268,457
311,278,458
310,287,458
415,294,458
