Landmark,X,Y
61,228,424
146,233,431
91,239,440
181,248,450
84,260,458
17,274,463
314,288,465
405,302,463
321,313,459
375,321,454
291,328,450
185,235,425
40,243,427
39,254,428
37,269,430
0,283,436
267,297,437
269,309,442
270,317,446
409,323,448
78,232,426
95,240,430
88,247,433
178,256,437
87,267,441
14,279,445
317,291,447
402,301,449
318,310,449
324,316,450
308,324,450
191,240,430
80,247,433
81,256,437
82,267,441
13,279,445
312,291,447
311,301,449
310,309,450
415,316,450
