Landmark,X,Y
61,224,438
146,228,445
91,234,453
181,242,464
84,253,472
17,267,477
314,282,479
405,295,477
321,306,472
375,314,467
291,320,463
185,231,439
40,239,441
39,248,442
37,262,444
0,276,451
267,290,451
269,301,456
270,309,459
409,315,461
78,228,440
95,235,444
88,242,447
178,250,451
87,261,455
14,272,459
317,284,461
402,294,462
318,302,462
324,308,463
308,316,463
191,236,444
80,242,447
81,251,451
82,261,455
13,272,459
312,284,461
311,294,462
310,302,463
415,308,463
