Landmark,X,Y
61,231,444
146,236,451
91,241,460
181,249,470
84,261,479
17,275,484
314,289,486
405,302,483
321,313,477
375,321,472
291,327,467
185,238,446
40,246,447
39,256,449
37,269,450
0,282,456
267,296,456
269,307,461
270,315,464
409,322,466
78,235,446
95,242,450
88,249,453
178,257,457
87,267,462
14,279,466
317,291,467
402,301,468
318,309,468
324,315,468
308,323,468
191,242,450
80,249,454
81,257,457
82,268,461
13,279,465
312,291,467
311,301,468
310,309,468
415,315,468
