Landmark,X,Y
61,210,445
146,215,452
91,222,459
181,231,467
84,244,474
17,258,478
314,272,479
405,285,477
321,296,472
375,304,468
291,311,464
185,217,446
40,225,447
39,236,447
37,251,448
0,265,453
267,279,452
269,291,456
270,299,460
409,305,462
78,214,447
95,221,450
88,228,452
178,238,455
87,249,458
14,262,461
317,274,463
402,284,463
318,292,464
324,299,464
308,307,464
191,221,450
80,229,452
81,238,455
82,249,458
13,262,461
312,274,463
311,284,463
310,292,464
415,299,464
