Landmark,X,Y
61,203,438
146,208,444
91,215,452
181,224,461
84,237,468
17,251,472
314,266,473
405,280,470
321,291,465
375,299,461
291,306,456
185,210,438
40,218,439
39,228,439
37,243,440
0,257,445
267,272,445
269,285,449
270,293,452
409,300,454
78,207,439
95,215,443
88,222,445
178,231,448
87,242,452
14,254,455
317,267,456
402,278,457
318,287,457
324,294,457
308,301,457
191,215,442
80,222,445
81,231,448
82,242,452
13,255,455
312,267,456
311,278,457
310,287,457
415,294,457
