Landmark,X,Y
61,199,435
146,204,442
91,210,450
181,219,459
84,231,465
17,244,469
314,259,470
405,273,467
321,285,462
375,293,458
291,300,454
185,205,436
40,212,437
39,222,437
37,236,438
0,250,443
267,264,443
269,278,447
270,287,450
409,294,452
78,203,437
95,210,441
88,216,443
178,225,447
87,235,450
14,247,453
317,260,454
402,271,455
318,280,455
324,287,454
308,296,454
191,210,440
80,217,443
81,225,446
82,236,449
13,248,453
312,261,454
311,271,454
310,281,455
415,288,454
