Landmark,X,Y
61,225,467
146,231,473
91,237,481
181,247,491
84,259,499
17,273,502
314,287,503
405,299,499
321,309,493
375,316,488
291,322,483
185,233,468
40,242,469
39,253,469
37,267,470
0,281,475
267,294,474
269,304,477
270,311,480
409,317,482
78,229,468
95,237,471
88,244,474
178,254,477
87,265,481
14,277,484
317,288,485
402,297,485
318,305,484
324,310,484
308,318,484
191,237,472
80,245,474
81,254,477
82,265,480
13,277,484
312,288,484
311,297,485
310,305,485
415,310,484
