Landmark,X,Y
61,215,464
146,219,471
91,224,479
181,232,488
84,243,496
17,257,499
314,271,499
405,284,494
321,294,487
375,301,481
291,307,477
185,220,464
40,227,464
39,237,463
37,249,461
0,262,466
267,275,464
269,287,469
270,295,472
409,301,475
78,219,466
95,226,468
88,232,470
178,239,472
87,249,475
14,259,477
317,271,478
402,280,477
318,288,477
324,294,477
308,302,477
191,226,468
80,232,470
81,240,472
82,249,474
13,260,477
312,271,477
311,280,477
310,288,478
415,294,477
