Landmark,X,Y
61,196,437
146,202,443
91,208,451
181,218,460
84,230,467
17,244,471
314,259,472
405,273,470
321,285,464
375,293,459
291,300,455
185,203,437
40,211,438
39,221,439
37,235,439
0,249,444
267,264,444
269,278,449
270,287,452
409,294,453
78,200,438
95,208,442
88,215,445
178,224,448
87,235,451
14,247,454
317,260,456
402,271,456
318,280,456
324,287,456
308,295,455
191,208,442
80,215,445
81,224,448
82,235,451
13,247,454
312,260,456
311,271,456
310,280,456
415,287,456
