Landmark,X,Y
61,201,487
146,205,494
91,210,502
181,219,511
84,229,519
17,243,522
314,257,521
405,269,516
321,279,509
375,286,503
291,291,498
185,206,487
40,212,486
39,220,485
37,232,485
0,245,489
267,258,487
269,270,491
270,279,494
409,286,496
78,205,489
95,211,492
88,217,494
178,224,497
87,233,500
14,244,503
317,255,503
402,265,502
318,273,501
324,279,500
308,286,499
191,212,491
80,217,493
81,225,494
82,234,497
13,244,499
312,255,499
311,265,499
310,273,499
415,279,499
