Landmark,X,Y
61,207,441
146,212,447
91,219,455
181,229,464
84,241,471
17,255,475
314,269,476
405,282,473
321,294,468
375,302,464
291,309,459
185,214,442
40,222,443
39,233,444
37,247,445
0,261,450
267,276,449
269,288,453
270,296,456
409,303,458
78,211,443
95,218,446
88,225,448
178,235,452
87,246,455
14,259,458
317,271,459
402,281,460
318,290,460
324,297,460
308,305,460
191,218,446
80,225,448
81,235,451
82,246,455
13,259,458
312,271,459
311,281,460
310,290,460
415,297,460
