Landmark,X,Y
61,202,484
146,206,490
91,211,498
181,219,507
84,230,513
17,243,516
314,258,516
405,271,511
321,281,504
375,288,499
291,294,494
185,207,484
40,213,483
39,220,483
37,232,482
0,244,486
267,259,485
269,272,488
270,281,491
409,288,493
78,206,486
95,213,488
88,218,490
178,225,493
87,234,496
14,244,498
317,256,498
402,266,497
318,275,496
324,281,495
308,289,495
191,213,488
80,218,490
81,225,492
82,234,494
13,244,496
312,256,497
311,266,496
310,275,496
415,282,496
