Landmark,X,Y
61,214,422
146,219,429
91,226,436
181,235,445
84,248,452
17,262,456
314,278,458
405,292,456
321,304,451
375,312,447
291,319,443
185,221,422
40,229,423
39,239,423
37,254,423
0,269,429
267,284,429
269,297,434
270,306,438
409,313,441
78,218,424
95,226,427
88,233,429
178,243,432
87,254,435
14,266,439
317,279,441
402,290,442
318,299,442
324,306,443
308,315,443
191,226,427
80,233,429
81,243,432
82,254,435
13,266,439
312,279,440
311,290,442
310,299,442
415,306,443
