Landmark,X,Y
61,219,477
146,223,483
91,229,491
181,237,500
84,248,507
17,261,510
314,275,510
405,287,506
321,297,499
375,304,494
291,309,489
185,225,477
40,231,477
39,241,476
37,253,475
0,265,480
267,278,478
269,289,482
270,297,486
409,304,488
78,223,479
95,230,481
88,236,482
178,243,485
87,253,487
14,263,490
317,274,490
402,283,490
318,291,490
324,297,490
308,305,490
191,230,481
80,236,483
81,244,485
82,253,487
13,264,489
312,274,490
311,283,490
310,291,490
415,297,490
