Landmark,X,Y
61,219,466
146,223,472
91,228,480
181,236,489
84,247,496
17,260,499
314,274,499
405,286,494
321,295,487
375,301,482
291,306,477
185,224,465
40,231,464
39,240,463
37,252,461
0,264,466
267,277,464
269,288,469
270,296,472
409,301,475
78,223,467
95,230,470
88,236,472
178,243,474
87,252,477
14,262,479
317,273,479
402,282,479
318,289,478
324,295,478
308,302,477
191,230,469
80,236,471
81,243,473
82,252,475
13,263,478
312,273,478
311,282,478
310,289,478
415,295,478
