Landmark,X,Y
61,204,486
146,207,492
91,212,498
181,220,506
84,231,512
17,244,515
314,257,515
405,269,510
321,278,504
375,284,499
291,288,494
185,209,486
40,215,485
39,223,484
37,235,482
0,247,486
267,260,485
269,270,488
270,278,491
409,284,493
78,207,487
95,214,489
88,219,491
178,226,493
87,235,495
14,246,497
317,256,497
402,265,496
318,272,496
324,278,495
308,284,495
191,214,489
80,220,491
81,227,493
82,236,494
13,246,496
312,256,496
311,265,496
310,272,496
415,278,496
