Landmark,X,Y
61,211,425
146,216,432
91,222,439
181,232,448
84,244,455
17,259,459
314,274,460
405,288,458
321,300,454
375,308,449
291,314,445
185,217,426
40,225,426
39,236,426
37,250,427
0,264,432
267,279,433
269,293,437
270,301,441
409,309,443
78,215,427
95,223,430
88,230,432
178,239,435
87,250,439
14,262,442
317,275,443
402,286,444
318,295,445
324,302,445
308,310,445
191,223,430
80,230,432
81,239,435
82,250,438
13,262,442
312,275,443
311,286,444
310,295,445
415,302,445
