Landmark,X,Y
61,187,499
146,191,505
91,196,513
181,205,522
84,217,529
17,232,532
314,247,532
405,260,527
321,269,520
375,275,514
291,280,509
185,192,498
40,199,497
39,209,496
37,222,493
0,236,497
267,249,496
269,261,501
270,269,504
409,275,507
78,191,500
95,199,502
88,205,504
178,212,506
87,222,509
14,234,511
317,245,511
402,254,510
318,262,510
324,268,510
308,275,510
191,199,502
80,205,504
81,213,506
82,223,508
13,234,510
312,245,510
311,254,510
310,262,510
415,268,510
