Landmark,X,Y
61,232,435
146,236,443
91,242,451
181,250,462
84,261,470
17,274,475
314,289,477
405,302,475
321,313,469
375,321,464
291,328,460
185,238,437
40,246,439
39,256,440
37,269,442
0,283,448
267,297,449
269,308,454
270,316,457
409,322,459
78,236,438
95,243,442
88,249,445
178,257,449
87,267,453
14,279,458
317,291,459
402,301,460
318,309,460
324,316,460
308,324,461
191,243,442
80,249,445
81,258,449
82,268,453
13,279,457
312,291,459
311,301,460
310,309,461
415,316,461
