Landmark,X,Y
61,217,420
146,222,426
91,228,434
181,238,443
84,250,451
17,265,455
314,280,457
405,294,455
321,306,450
375,315,446
291,322,442
185,224,420
40,232,420
39,242,420
37,257,421
0,272,426
267,287,427
269,300,432
270,309,436
409,316,439
78,221,421
95,229,424
88,236,427
178,245,430
87,256,433
14,269,437
317,281,439
402,292,440
318,302,441
324,309,441
308,318,442
191,229,424
80,236,427
81,246,430
82,257,433
13,269,437
312,282,439
311,292,440
310,302,441
415,309,441
