Landmark,X,Y
61,235,449
146,240,456
91,245,464
181,254,474
84,266,483
17,280,487
314,294,489
405,307,486
321,318,480
375,325,475
291,332,470
185,242,450
40,250,452
39,261,453
37,275,455
0,289,461
267,302,460
269,313,464
270,320,467
409,327,469
78,239,451
95,246,454
88,253,458
178,262,461
87,273,466
14,285,469
317,296,471
402,306,471
318,314,471
324,320,471
308,328,471
191,246,455
80,253,458
81,262,461
82,273,465
13,285,469
312,297,470
311,306,471
310,314,471
415,320,471
