Landmark,X,Y
61,199,486
146,203,492
91,209,498
181,217,506
84,228,512
17,241,515
314,254,515
405,265,511
321,275,505
375,281,500
291,286,495
185,205,486
40,212,485
39,220,485
37,232,484
0,245,488
267,257,486
269,268,489
270,275,492
409,281,494
78,203,487
95,210,489
88,215,491
178,223,493
87,232,496
14,243,498
317,253,498
402,262,497
318,270,497
324,275,496
308,282,496
191,210,489
80,216,491
81,223,493
82,232,495
13,243,497
312,254,497
311,263,497
310,270,497
415,276,496
