Landmark,X,Y
61,203,478
146,197,483
91,189,490
181,180,499
84,172,511
17,169,524
314,169,536
405,174,546
321,181,553
375,187,557
291,192,561
185,203,484
40,203,492
39,204,502
37,204,516
0,199,529
267,201,540
269,199,549
270,196,554
409,194,558
78,201,482
95,199,489
88,196,496
178,194,505
87,190,515
14,188,526
317,188,535
402,189,542
318,190,548
324,190,552
308,191,557
191,199,489
80,196,496
81,194,505
82,191,515
13,188,526
312,188,535
311,189,542
310,190,548
415,190,552
