Landmark,X,Y
61,228,408
146,225,414
91,221,423
181,215,434
84,211,448
17,209,462
314,210,475
405,215,486
321,220,492
375,224,496
291,228,499
185,231,412
40,233,421
39,235,431
37,237,447
0,236,462
267,238,474
269,236,486
270,233,492
409,230,497
78,228,413
95,228,421
88,227,428
178,225,437
87,224,448
14,223,461
317,224,471
402,225,480
318,226,486
324,227,489
308,227,494
191,228,421
80,227,429
81,226,438
82,226,449
13,225,462
312,225,472
311,226,480
310,226,486
415,227,489
