Landmark,X,Y
61,171,460
146,166,466
91,159,474
181,152,485
84,147,499
17,147,513
314,151,526
405,159,535
321,169,541
375,177,545
291,184,549
185,171,467
40,170,476
39,171,486
37,172,500
0,171,514
267,176,526
269,178,534
270,180,540
409,182,544
78,170,464
95,169,472
88,167,479
178,165,489
87,164,500
14,164,512
317,167,522
402,171,529
318,175,535
324,178,539
308,181,545
191,168,472
80,167,480
81,165,489
82,164,500
13,164,513
312,167,522
311,171,530
310,174,535
415,177,539
