Landmark,X,Y
61,205,470
146,198,475
91,190,483
181,180,494
84,172,507
17,168,522
314,169,535
405,173,545
321,180,553
375,186,557
291,192,561
185,205,477
40,204,487
39,203,499
37,203,516
0,198,530
267,199,542
269,197,550
270,195,555
409,193,558
78,203,474
95,200,482
88,197,490
178,194,501
87,190,513
14,188,526
317,187,535
402,188,542
318,189,548
324,189,552
308,191,557
191,200,482
80,197,490
81,194,501
82,190,513
13,188,526
312,187,535
311,188,542
310,189,548
415,189,552
