Landmark,X,Y
61,175,473
146,169,479
91,162,487
181,155,499
84,149,512
17,148,526
314,151,537
405,158,546
321,166,551
375,173,554
291,179,557
185,174,481
40,174,491
39,174,502
37,175,518
0,174,531
267,177,541
269,178,548
270,178,552
409,179,554
78,173,477
95,171,486
88,170,494
178,167,504
87,166,515
14,165,527
317,167,535
402,170,541
318,172,545
324,175,549
308,177,553
191,171,486
80,170,494
81,168,504
82,167,516
13,167,528
312,168,536
311,170,541
310,173,546
415,175,549
