Landmark,X,Y
61,215,407
146,209,410
91,203,414
181,195,421
84,189,431
17,187,444
314,188,461
405,193,476
321,200,489
375,206,497
291,211,503
185,217,409
40,219,413
39,221,419
37,223,428
0,219,440
267,222,454
269,219,472
270,216,484
409,214,495
78,214,411
95,214,416
88,213,421
178,211,426
87,210,434
14,209,443
317,209,456
402,210,469
318,210,481
324,211,490
308,211,498
191,213,417
80,212,421
81,212,427
82,210,434
13,209,443
312,210,456
311,210,469
310,210,480
415,210,490
