Landmark,X,Y
61,220,412
146,213,418
91,205,427
181,195,439
84,189,453
17,187,470
314,189,486
405,196,499
321,206,509
375,214,515
291,221,520
185,220,419
40,221,428
39,222,439
37,224,455
0,221,471
267,224,485
269,223,499
270,222,508
409,221,514
78,219,416
95,216,426
88,214,434
178,212,444
87,210,456
14,209,470
317,210,482
402,212,493
318,215,501
324,217,507
308,219,515
191,216,425
80,214,433
81,212,444
82,211,456
13,209,470
312,211,482
311,213,493
310,215,501
415,217,508
