Landmark,X,Y
61,179,495
146,172,502
91,165,511
181,156,523
84,149,537
17,148,553
314,150,565
405,156,574
321,165,580
375,172,584
291,178,586
185,178,504
40,176,515
39,176,529
37,175,546
0,173,561
267,176,572
269,177,578
270,178,582
409,178,585
78,177,500
95,174,509
88,172,518
178,169,530
87,167,543
14,165,556
317,167,564
402,169,571
318,171,575
324,173,579
308,176,583
191,174,509
80,172,518
81,169,530
82,167,543
13,166,556
312,167,564
311,169,571
310,171,575
415,173,579
