Landmark,X,Y
61,202,471
146,196,477
91,187,484
181,178,495
84,170,508
17,167,523
314,167,535
405,172,546
321,179,553
375,185,557
291,190,560
185,202,478
40,201,487
39,201,499
37,201,516
0,197,530
267,198,541
269,196,550
270,194,555
409,192,558
78,200,475
95,197,483
88,195,491
178,192,501
87,188,513
14,186,525
317,186,535
402,186,542
318,187,548
324,188,552
308,189,557
191,198,482
80,195,491
81,192,501
82,188,513
13,186,526
312,186,535
311,186,542
310,187,548
415,188,552
