Landmark,X,Y
61,167,462
146,161,468
91,155,476
181,148,487
84,144,500
17,144,515
314,149,527
405,157,537
321,168,543
375,176,547
291,183,550
185,167,469
40,167,477
39,168,487
37,171,500
0,170,514
267,175,526
269,177,535
270,179,541
409,181,545
78,166,466
95,164,474
88,163,481
178,162,491
87,161,501
14,162,513
317,165,523
402,169,531
318,173,536
324,176,541
308,180,547
191,164,474
80,163,481
81,162,491
82,161,502
13,162,514
312,165,523
311,169,531
310,173,537
415,176,541
