Landmark,X,Y
61,392,491
146,396,487
91,400,481
181,406,473
84,410,463
17,412,454
314,411,447
405,407,443
321,403,440
375,400,439
291,397,439
185,392,485
40,392,476
39,393,466
37,394,453
0,397,444
267,396,438
269,396,435
270,397,436
409,397,437
78,393,488
95,395,482
88,396,476
178,399,467
87,401,459
14,402,452
317,402,447
402,401,445
318,399,443
324,398,442
308,397,441
191,395,482
80,396,475
81,399,467
82,401,459
13,402,451
312,402,447
311,401,444
310,400,443
415,398,442
