Landmark,X,Y
61,372,492
146,377,490
91,383,488
181,391,483
84,398,476
17,404,466
314,407,457
405,407,448
321,404,441
375,400,438
291,397,435
185,371,488
40,372,482
39,374,475
37,378,465
0,384,455
267,386,446
269,389,440
270,392,437
409,395,435
78,374,489
95,377,484
88,380,481
178,384,475
87,389,468
14,393,461
317,395,454
402,396,449
318,396,444
324,396,441
308,396,438
191,376,484
80,378,479
81,381,474
82,385,467
13,389,459
312,391,453
311,393,447
310,394,444
415,395,441
