Landmark,X,Y
61,239,324
146,236,327
91,233,332
181,230,341
84,230,352
17,231,365
314,235,380
405,242,393
321,249,404
375,255,411
291,259,416
185,243,325
40,247,329
39,252,334
37,258,344
0,259,357
267,264,371
269,264,387
270,262,399
409,261,409
78,240,328
95,242,333
88,244,338
178,245,344
87,247,351
14,249,361
317,252,373
402,254,384
318,256,395
324,257,403
308,258,412
191,242,334
80,244,338
81,246,344
82,247,352
13,249,361
312,252,373
311,255,385
310,256,395
415,257,403
