Landmark,X,Y
61,174,520
146,170,525
91,166,532
181,161,541
84,156,551
17,154,561
314,154,570
405,157,577
321,160,581
375,163,584
291,165,587
185,175,527
40,176,536
39,178,546
37,179,560
0,176,570
267,176,579
269,173,584
270,170,586
409,168,587
78,173,525
95,172,532
88,171,538
178,169,546
87,167,556
14,166,564
317,165,570
402,165,575
318,165,578
324,166,580
308,166,583
191,172,531
80,171,538
81,170,546
82,168,555
13,166,564
312,165,571
311,165,575
310,165,578
415,166,580
