Landmark,X,Y
61,227,480
146,224,483
91,221,487
181,217,493
84,214,501
17,211,511
314,210,521
405,210,530
321,211,537
375,212,541
291,214,545
185,228,483
40,228,488
39,228,495
37,228,504
0,225,514
267,224,525
269,221,534
270,218,539
409,216,543
78,226,483
95,225,488
88,224,492
178,223,498
87,221,505
14,219,513
317,218,521
402,217,527
318,216,533
324,215,537
308,214,541
191,225,488
80,224,492
81,223,498
82,221,505
13,220,513
312,218,521
311,217,528
310,216,533
415,215,537
