Landmark,X,Y
61,228,409
146,223,414
91,217,421
181,210,432
84,205,446
17,204,462
314,206,478
405,212,491
321,219,500
375,225,506
291,231,509
185,230,414
40,232,422
39,234,432
37,237,446
0,235,461
267,238,475
269,236,488
270,234,497
409,232,504
78,228,413
95,227,421
88,226,429
178,225,438
87,224,449
14,223,461
317,225,473
402,226,483
318,228,491
324,229,497
308,230,505
191,227,422
80,226,429
81,225,438
82,224,449
13,224,461
312,225,473
311,226,483
310,228,491
415,229,497
