Landmark,X,Y
61,153,464
146,148,472
91,142,481
181,136,493
84,132,508
17,135,523
314,142,535
405,152,543
321,164,547
375,173,549
291,181,551
185,153,471
40,154,479
39,156,489
37,160,503
0,162,518
267,169,528
269,173,537
270,176,542
409,179,546
78,152,469
95,152,477
88,151,485
178,151,494
87,151,506
14,153,518
317,158,527
402,164,534
318,169,539
324,173,543
308,178,548
191,151,477
80,151,485
81,150,494
82,151,506
13,153,518
312,158,527
311,163,534
310,168,539
415,172,543
