Landmark,X,Y
61,173,445
146,169,451
91,164,459
181,159,471
84,157,484
17,159,498
314,166,510
405,175,519
321,185,524
375,193,527
291,200,529
185,175,450
40,177,456
39,181,464
37,186,476
0,187,489
267,194,500
269,196,511
270,198,519
409,199,524
78,173,449
95,173,457
88,173,463
178,173,471
87,174,481
14,177,492
317,181,502
402,186,510
318,191,516
324,194,520
308,198,526
191,174,456
80,175,462
81,176,470
82,178,480
13,180,491
312,185,501
311,189,509
310,192,515
415,195,520
