Landmark,X,Y
61,185,497
146,176,503
91,165,512
181,152,525
84,142,541
17,137,558
314,137,572
405,141,582
321,149,590
375,156,596
291,161,600
185,182,507
40,177,521
39,172,537
37,168,558
0,162,574
267,163,586
269,163,593
270,163,597
409,162,599
78,182,502
95,177,511
88,172,522
178,166,536
87,160,550
14,156,565
317,156,575
402,156,582
318,158,587
324,159,591
308,160,596
191,177,511
80,172,522
81,166,536
82,160,551
13,156,566
312,156,575
311,156,582
310,157,587
415,159,591
